d1_idx,d1_date,year,reached_day2,true_breakdown,index_key,index_name,ma_window
4912,2024-03-25,2024,True,True,sse,上证指数,25
4920,2024-04-08,2024,True,True,sse,上证指数,25
4930,2024-04-22,2024,True,True,sse,上证指数,25
4951,2024-05-24,2024,False,False,sse,上证指数,25
4953,2024-05-28,2024,True,True,sse,上证指数,25
5073,2024-11-22,2024,True,True,sse,上证指数,25
5094,2024-12-23,2024,False,False,sse,上证指数,25
5100,2024-12-31,2024,True,True,sse,上证指数,25
5151,2025-03-21,2025,True,True,sse,上证指数,25
5210,2025-06-19,2025,True,False,sse,上证指数,25
5276,2025-09-19,2025,True,True,sse,上证指数,25
5290,2025-10-17,2025,False,False,sse,上证指数,25
5312,2025-11-18,2025,True,True,sse,上证指数,25
5364,2026-02-02,2026,True,False,sse,上证指数,25
5367,2026-02-05,2026,True,False,sse,上证指数,25
5373,2026-02-13,2026,False,False,sse,上证指数,25
5380,2026-03-04,2026,True,False,sse,上证指数,25
5383,2026-03-09,2026,False,False,sse,上证指数,25
5387,2026-03-13,2026,True,True,sse,上证指数,25
5432,2026-05-21,2026,True,False,sse,上证指数,25
5436,2026-05-27,2026,True,True,sse,上证指数,25
5457,2026-06-26,2026,False,False,sse,上证指数,25
5461,2026-07-02,2026,True,True,sse,上证指数,25
260,2005-01-27,2005,True,True,sse50,上证50,20
277,2005-03-02,2005,False,False,sse50,上证50,20
283,2005-03-10,2005,True,True,sse50,上证50,20
310,2005-04-18,2005,True,True,sse50,上证50,20
358,2005-06-30,2005,True,True,sse50,上证50,20
400,2005-08-29,2005,True,True,sse50,上证50,20
406,2005-09-06,2005,False,False,sse50,上证50,20
410,2005-09-12,2005,False,False,sse50,上证50,20
417,2005-09-21,2005,True,True,sse50,上证50,20
465,2005-12-05,2005,False,False,sse50,上证50,20
522,2006-03-07,2006,True,True,sse50,上证50,20
535,2006-03-24,2006,False,False,sse50,上证50,20
583,2006-06-07,2006,True,True,sse50,上证50,20
609,2006-07-13,2006,True,True,sse50,上证50,20
747,2007-02-02,2007,True,True,sse50,上证50,20
759,2007-02-27,2007,False,False,sse50,上证50,20
761,2007-03-01,2007,True,True,sse50,上证50,20
770,2007-03-14,2007,False,False,sse50,上证50,20
772,2007-03-16,2007,False,False,sse50,上证50,20
820,2007-05-30,2007,False,False,sse50,上证50,20
823,2007-06-04,2007,True,True,sse50,上证50,20
